name,team,date,injury,sport
Derrick Jones Jr.,Chicago Bulls,25-02-2019,illness,basketball
Derrick Jones Jr.,Chicago Bulls,02-04-2019,knee,basketball
Derrick Jones Jr.,Chicago Bulls,03-04-2019,knee,basketball
Derrick Jones Jr.,Chicago Bulls,27-10-2019,groin,basketball
Derrick Jones Jr.,Chicago Bulls,08-11-2019,hip,basketball
Derrick Jones Jr.,Chicago Bulls,27-11-2019,hip,basketball
Derrick Jones Jr.,Chicago Bulls,16-08-2020,shoulder,basketball
Zach LaVine,Chicago Bulls,31-01-2015,ankle,basketball
Zach LaVine,Chicago Bulls,13-11-2016,knee,basketball
Zach LaVine,Chicago Bulls,10-01-2017,hip,basketball
Zach LaVine,Chicago Bulls,11-01-2017,hip,basketball
Zach LaVine,Chicago Bulls,03-02-2017,knee,basketball
Zach LaVine,Chicago Bulls,04-02-2017,knee,basketball
Zach LaVine,Chicago Bulls,19-10-2017,knee,basketball
Zach LaVine,Chicago Bulls,10-02-2018,knee,basketball
Zach LaVine,Chicago Bulls,26-02-2018,knee,basketball
Zach LaVine,Chicago Bulls,17-03-2018,knee,basketball
Zach LaVine,Chicago Bulls,17-11-2018,illness,basketball
Zach LaVine,Chicago Bulls,15-12-2018,ankle,basketball
Zach LaVine,Chicago Bulls,30-01-2019,ankle,basketball
Zach LaVine,Chicago Bulls,10-03-2019,knee,basketball
Zach LaVine,Chicago Bulls,12-03-2019,knee,basketball
Zach LaVine,Chicago Bulls,20-03-2019,thigh,basketball
Zach LaVine,Chicago Bulls,27-03-2019,thigh,basketball
Zach LaVine,Chicago Bulls,02-03-2020,quadriceps,basketball
Adam Mokoka,Chicago Bulls,06-01-2020,eye,basketball
Denzel Valentine,Chicago Bulls,04-10-2016,ankle,basketball
Denzel Valentine,Chicago Bulls,03-01-2017,ankle,basketball
Denzel Valentine,Chicago Bulls,04-01-2017,ankle,basketball
Denzel Valentine,Chicago Bulls,12-01-2017,flu,basketball
Denzel Valentine,Chicago Bulls,17-05-2017,ankle,basketball
Denzel Valentine,Chicago Bulls,03-04-2018,knee,basketball
Denzel Valentine,Chicago Bulls,03-04-2018,knee,basketball
Denzel Valentine,Chicago Bulls,18-10-2018,ankle,basketball
Denzel Valentine,Chicago Bulls,19-11-2018,ankle,basketball
Denzel Valentine,Chicago Bulls,06-02-2020,hamstring,basketball
Denzel Valentine,Chicago Bulls,09-02-2020,hamstring,basketball
Nikola Vucevic,Chicago Bulls,04-01-2012,back,basketball
Nikola Vucevic,Chicago Bulls,23-01-2012,knee,basketball
Nikola Vucevic,Chicago Bulls,20-03-2013,concussion,basketball
Nikola Vucevic,Chicago Bulls,22-03-2013,concussion,basketball
Nikola Vucevic,Chicago Bulls,25-03-2013,concussion,basketball
Nikola Vucevic,Chicago Bulls,27-03-2013,concussion,basketball
Nikola Vucevic,Chicago Bulls,29-03-2013,concussion,basketball
Nikola Vucevic,Chicago Bulls,03-12-2013,ankle,basketball
Nikola Vucevic,Chicago Bulls,06-12-2013,ankle,basketball
Nikola Vucevic,Chicago Bulls,08-12-2013,ankle,basketball
Nikola Vucevic,Chicago Bulls,09-12-2013,ankle,basketball
Nikola Vucevic,Chicago Bulls,02-01-2014,ankle,basketball
Nikola Vucevic,Chicago Bulls,04-01-2014,ankle,basketball
Nikola Vucevic,Chicago Bulls,08-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,10-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,11-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,13-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,15-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,17-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,19-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,21-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,22-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,24-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,26-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,28-01-2014,concussion,basketball
Nikola Vucevic,Chicago Bulls,04-04-2014,achilles,basketball
Nikola Vucevic,Chicago Bulls,05-04-2014,achilles,basketball
Nikola Vucevic,Chicago Bulls,09-04-2014,achilles,basketball
Nikola Vucevic,Chicago Bulls,11-04-2014,achilles,basketball
Nikola Vucevic,Chicago Bulls,13-04-2014,achilles,basketball
Nikola Vucevic,Chicago Bulls,14-04-2014,achilles,basketball
Nikola Vucevic,Chicago Bulls,16-04-2014,achilles,basketball
Nikola Vucevic,Chicago Bulls,02-12-2014,back,basketball
Nikola Vucevic,Chicago Bulls,06-12-2014,back,basketball
Nikola Vucevic,Chicago Bulls,06-03-2015,ankle,basketball
Nikola Vucevic,Chicago Bulls,04-11-2015,knee,basketball
Nikola Vucevic,Chicago Bulls,06-11-2015,knee,basketball
Nikola Vucevic,Chicago Bulls,07-03-2016,groin,basketball
Nikola Vucevic,Chicago Bulls,08-03-2016,groin,basketball
Nikola Vucevic,Chicago Bulls,11-04-2016,groin,basketball
Nikola Vucevic,Chicago Bulls,10-12-2016,back,basketball
Nikola Vucevic,Chicago Bulls,05-03-2017,achilles,basketball
Nikola Vucevic,Chicago Bulls,23-12-2017,hand,basketball
Nikola Vucevic,Chicago Bulls,26-12-2017,hand,basketball
Nikola Vucevic,Chicago Bulls,06-04-2018,back,basketball
Nikola Vucevic,Chicago Bulls,10-04-2019,virus,basketball
Nikola Vucevic,Chicago Bulls,21-11-2019,ankle,basketball
Jarrett Allen,Cleveland Cavaliers,31-10-2017,foot,basketball
Jarrett Allen,Cleveland Cavaliers,06-11-2017,foot,basketball
Jarrett Allen,Cleveland Cavaliers,13-03-2018,foot,basketball
Jarrett Allen,Cleveland Cavaliers,12-11-2018,illness,basketball
Jarrett Allen,Cleveland Cavaliers,10-08-2020,ankle,basketball
Damyean Dotson,Cleveland Cavaliers,25-03-2018,foot,basketball
Damyean Dotson,Cleveland Cavaliers,14-12-2018,shoulder,basketball
Damyean Dotson,Cleveland Cavaliers,06-02-2020,illness,basketball
Darius Garland,Cleveland Cavaliers,01-03-2020,groin,basketball
Kevin Love,Cleveland Cavaliers,23-03-2011,groin,basketball
Kevin Love,Cleveland Cavaliers,24-03-2011,groin,basketball
Kevin Love,Cleveland Cavaliers,02-04-2011,groin,basketball
Kevin Love,Cleveland Cavaliers,05-04-2011,groin,basketball
Kevin Love,Cleveland Cavaliers,06-04-2011,groin,basketball
Kevin Love,Cleveland Cavaliers,29-02-2012,rib,basketball
Kevin Love,Cleveland Cavaliers,09-03-2012,back,basketball
Kevin Love,Cleveland Cavaliers,10-03-2012,back,basketball
Kevin Love,Cleveland Cavaliers,12-04-2012,concussion,basketball
Kevin Love,Cleveland Cavaliers,14-04-2012,concussion,basketball
Kevin Love,Cleveland Cavaliers,16-04-2012,concussion,basketball
Kevin Love,Cleveland Cavaliers,17-04-2012,concussion,basketball
Kevin Love,Cleveland Cavaliers,19-04-2012,concussion,basketball
Kevin Love,Cleveland Cavaliers,22-04-2012,concussion,basketball
Kevin Love,Cleveland Cavaliers,17-10-2012,hand,basketball
Kevin Love,Cleveland Cavaliers,02-11-2012,hand,basketball
Kevin Love,Cleveland Cavaliers,15-12-2012,thumb,basketball
Kevin Love,Cleveland Cavaliers,23-12-2012,eye,basketball
Kevin Love,Cleveland Cavaliers,05-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,08-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,09-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,11-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,13-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,15-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,17-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,19-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,21-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,23-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,25-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,26-01-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,01-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,02-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,04-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,06-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,08-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,10-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,11-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,13-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,20-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,22-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,24-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,26-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,28-02-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,02-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,04-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,06-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,09-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,10-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,12-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,13-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,15-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,17-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,18-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,21-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,22-03-2013,finger,basketball
Kevin Love,Cleveland Cavaliers,10-04-2013,knee,basketball
Kevin Love,Cleveland Cavaliers,05-02-2014,neck,basketball
Kevin Love,Cleveland Cavaliers,05-04-2014,back,basketball
Kevin Love,Cleveland Cavaliers,11-04-2014,elbow,basketball
Kevin Love,Cleveland Cavaliers,31-12-2014,back,basketball
Kevin Love,Cleveland Cavaliers,16-01-2015,back,basketball
Kevin Love,Cleveland Cavaliers,12-02-2015,eye,basketball
Kevin Love,Cleveland Cavaliers,02-04-2015,back,basketball
Kevin Love,Cleveland Cavaliers,27-04-2015,shoulder,basketball
Kevin Love,Cleveland Cavaliers,29-04-2015,shoulder,basketball
Kevin Love,Cleveland Cavaliers,04-05-2015,shoulder,basketball
Kevin Love,Cleveland Cavaliers,06-02-2016,quadriceps,basketball
Kevin Love,Cleveland Cavaliers,29-02-2016,leg,basketball
Kevin Love,Cleveland Cavaliers,10-03-2016,knee,basketball
Kevin Love,Cleveland Cavaliers,21-03-2016,illness,basketball
Kevin Love,Cleveland Cavaliers,05-06-2016,concussion,basketball
Kevin Love,Cleveland Cavaliers,08-06-2016,concussion,basketball
Kevin Love,Cleveland Cavaliers,19-12-2016,knee,basketball
Kevin Love,Cleveland Cavaliers,04-01-2017,illness,basketball
Kevin Love,Cleveland Cavaliers,19-01-2017,back,basketball
Kevin Love,Cleveland Cavaliers,30-01-2017,back,basketball
Kevin Love,Cleveland Cavaliers,12-02-2017,knee,basketball
Kevin Love,Cleveland Cavaliers,14-02-2017,knee,basketball
Kevin Love,Cleveland Cavaliers,09-12-2017,hip,basketball
Kevin Love,Cleveland Cavaliers,30-01-2018,hand,basketball
Kevin Love,Cleveland Cavaliers,31-01-2018,hand,basketball
Kevin Love,Cleveland Cavaliers,28-03-2018,concussion,basketball
Kevin Love,Cleveland Cavaliers,26-05-2018,concussion,basketball
Kevin Love,Cleveland Cavaliers,25-10-2018,foot,basketball
Kevin Love,Cleveland Cavaliers,18-03-2019,back,basketball
Kevin Love,Cleveland Cavaliers,30-03-2019,shoulder,basketball
Kevin Love,Cleveland Cavaliers,18-11-2019,back,basketball
Kevin Love,Cleveland Cavaliers,23-11-2019,back,basketball
Kevin Love,Cleveland Cavaliers,06-12-2019,illness,basketball
Kevin Love,Cleveland Cavaliers,28-12-2019,hip,basketball
Kevin Love,Cleveland Cavaliers,12-02-2020,achilles,basketball
Kevin Love,Cleveland Cavaliers,22-02-2020,achilles,basketball
Lauri Markkanen,Cleveland Cavaliers,11-12-2017,back,basketball
Lauri Markkanen,Cleveland Cavaliers,13-12-2017,back,basketball
Lauri Markkanen,Cleveland Cavaliers,15-12-2017,back,basketball
Lauri Markkanen,Cleveland Cavaliers,13-03-2018,back,basketball
Lauri Markkanen,Cleveland Cavaliers,21-03-2018,back,basketball
Lauri Markkanen,Cleveland Cavaliers,24-03-2018,back,basketball
Lauri Markkanen,Cleveland Cavaliers,18-10-2018,elbow,basketball
Cedi Osman,Cleveland Cavaliers,10-03-2018,hip,basketball
Cedi Osman,Cleveland Cavaliers,11-03-2018,hip,basketball
Cedi Osman,Cleveland Cavaliers,09-11-2018,back,basketball
Cedi Osman,Cleveland Cavaliers,05-02-2019,ankle,basketball
Ricky Rubio,Cleveland Cavaliers,09-03-2012,knee,basketball
Ricky Rubio,Cleveland Cavaliers,10-03-2012,knee,basketball
Ricky Rubio,Cleveland Cavaliers,21-03-2012,knee,basketball
Ricky Rubio,Cleveland Cavaliers,02-11-2012,knee,basketball
Ricky Rubio,Cleveland Cavaliers,18-12-2012,knee,basketball
Ricky Rubio,Cleveland Cavaliers,29-12-2012,back,basketball
Ricky Rubio,Cleveland Cavaliers,02-01-2013,back,basketball
Ricky Rubio,Cleveland Cavaliers,03-01-2013,back,basketball
Ricky Rubio,Cleveland Cavaliers,05-01-2013,back,basketball
Ricky Rubio,Cleveland Cavaliers,08-11-2014,ankle,basketball
Ricky Rubio,Cleveland Cavaliers,15-03-2015,ankle,basketball
Ricky Rubio,Cleveland Cavaliers,19-03-2015,ankle,basketball
Ricky Rubio,Cleveland Cavaliers,13-04-2015,ankle,basketball
Ricky Rubio,Cleveland Cavaliers,10-11-2015,knee,basketball
Ricky Rubio,Cleveland Cavaliers,12-11-2015,hamstring,basketball
Ricky Rubio,Cleveland Cavaliers,27-11-2015,ankle,basketball
Ricky Rubio,Cleveland Cavaliers,29-11-2015,ankle,basketball
Ricky Rubio,Cleveland Cavaliers,31-10-2016,elbow,basketball
Ricky Rubio,Cleveland Cavaliers,01-11-2016,elbow,basketball
Ricky Rubio,Cleveland Cavaliers,22-01-2017,hip,basketball
Ricky Rubio,Cleveland Cavaliers,17-11-2017,achilles,basketball
Ricky Rubio,Cleveland Cavaliers,11-02-2018,hip,basketball
Ricky Rubio,Cleveland Cavaliers,30-03-2018,hamstring,basketball
Ricky Rubio,Cleveland Cavaliers,30-03-2018,hamstring,basketball
Ricky Rubio,Cleveland Cavaliers,29-04-2018,hamstring,basketball
Ricky Rubio,Cleveland Cavaliers,29-12-2018,back,basketball
Ricky Rubio,Cleveland Cavaliers,08-01-2019,hamstring,basketball
Ricky Rubio,Cleveland Cavaliers,28-02-2019,hamstring,basketball
Ricky Rubio,Cleveland Cavaliers,08-03-2019,hip,basketball
Ricky Rubio,Cleveland Cavaliers,03-04-2019,hamstring,basketball
Ricky Rubio,Cleveland Cavaliers,06-04-2019,quadriceps,basketball
Ricky Rubio,Cleveland Cavaliers,07-04-2019,quadriceps,basketball
Ricky Rubio,Cleveland Cavaliers,26-10-2019,knee,basketball
Ricky Rubio,Cleveland Cavaliers,18-11-2019,back,basketball
Ricky Rubio,Cleveland Cavaliers,21-11-2019,back,basketball
Ricky Rubio,Cleveland Cavaliers,21-12-2019,illness,basketball
Ricky Rubio,Cleveland Cavaliers,02-02-2020,ankle,basketball
Dean Wade,Cleveland Cavaliers,20-01-2020,illness,basketball
Dean Wade,Cleveland Cavaliers,07-03-2020,ankle,basketball
Dylan Windler,Cleveland Cavaliers,28-09-2019,leg,basketball
Hamidou Diallo,Detroit Pistons,22-11-2018,ankle,basketball
Hamidou Diallo,Detroit Pistons,23-11-2018,ankle,basketball
Hamidou Diallo,Detroit Pistons,14-04-2019,elbow,basketball
Hamidou Diallo,Detroit Pistons,16-04-2019,elbow,basketball
Hamidou Diallo,Detroit Pistons,17-04-2019,elbow,basketball
Hamidou Diallo,Detroit Pistons,15-11-2019,knee,basketball
Hamidou Diallo,Detroit Pistons,24-11-2019,elbow,basketball
Hamidou Diallo,Detroit Pistons,25-11-2019,elbow,basketball
Jerami Grant,Detroit Pistons,29-10-2014,ankle,basketball
Jerami Grant,Detroit Pistons,21-11-2014,ankle,basketball
Jerami Grant,Detroit Pistons,23-02-2015,back,basketball
Jerami Grant,Detroit Pistons,30-03-2015,illness,basketball
Jerami Grant,Detroit Pistons,14-01-2016,calf,basketball
Jerami Grant,Detroit Pistons,12-03-2016,concussion,basketball
Jerami Grant,Detroit Pistons,28-03-2016,knee,basketball
Jerami Grant,Detroit Pistons,29-03-2016,knee,basketball
Jerami Grant,Detroit Pistons,07-12-2017,hip,basketball
Jerami Grant,Detroit Pistons,10-02-2019,ankle,basketball
Jerami Grant,Detroit Pistons,11-02-2019,ankle,basketball
Jerami Grant,Detroit Pistons,05-02-2020,ankle,basketball
Jerami Grant,Detroit Pistons,10-08-2020,knee,basketball
Frank Jackson,Detroit Pistons,01-09-2017,foot,basketball
Frank Jackson,Detroit Pistons,17-10-2017,foot,basketball
Frank Jackson,Detroit Pistons,28-11-2018,ankle,basketball
Frank Jackson,Detroit Pistons,27-03-2019,concussion,basketball
Frank Jackson,Detroit Pistons,17-11-2019,neck,basketball
Josh Jackson,Detroit Pistons,12-01-2018,hip,basketball
Josh Jackson,Detroit Pistons,10-03-2018,knee,basketball
Josh Jackson,Detroit Pistons,08-04-2018,quadriceps,basketball
Josh Jackson,Detroit Pistons,23-03-2019,ankle,basketball
Cory Joseph,Detroit Pistons,23-12-2013,virus,basketball
Cory Joseph,Detroit Pistons,26-11-2014,ankle,basketball
Cory Joseph,Detroit Pistons,18-12-2016,flu,basketball
Trey Lyles,Detroit Pistons,12-01-2019,wrist,basketball
Trey Lyles,Detroit Pistons,21-02-2019,hamstring,basketball
Trey Lyles,Detroit Pistons,22-02-2019,hamstring,basketball
Trey Lyles,Detroit Pistons,15-07-2020,appendicitis,basketball
Rodney McGruder,Detroit Pistons,07-12-2016,ankle,basketball
Rodney McGruder,Detroit Pistons,19-12-2016,ankle,basketball
Rodney McGruder,Detroit Pistons,12-10-2017,leg,basketball
Rodney McGruder,Detroit Pistons,17-10-2017,leg,basketball
Rodney McGruder,Detroit Pistons,23-12-2018,stomach,basketball
Rodney McGruder,Detroit Pistons,25-02-2019,knee,basketball
Rodney McGruder,Detroit Pistons,18-03-2019,knee,basketball
Rodney McGruder,Detroit Pistons,21-10-2019,ankle,basketball
Rodney McGruder,Detroit Pistons,22-10-2019,ankle,basketball
Rodney McGruder,Detroit Pistons,28-11-2019,hamstring,basketball
Rodney McGruder,Detroit Pistons,01-12-2019,hamstring,basketball
Kelly Olynyk,Detroit Pistons,23-11-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,25-11-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,27-11-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,29-11-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,30-11-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,03-12-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,06-12-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,08-12-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,10-12-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,11-12-2013,ankle,basketball
Kelly Olynyk,Detroit Pistons,26-02-2014,toe,basketball
Kelly Olynyk,Detroit Pistons,01-03-2014,toe,basketball
Kelly Olynyk,Detroit Pistons,23-01-2015,ankle,basketball
Kelly Olynyk,Detroit Pistons,18-02-2016,shoulder,basketball
Kelly Olynyk,Detroit Pistons,19-02-2016,shoulder,basketball
Kelly Olynyk,Detroit Pistons,19-04-2016,shoulder,basketball
Kelly Olynyk,Detroit Pistons,17-05-2016,shoulder,basketball
Kelly Olynyk,Detroit Pistons,26-10-2016,shoulder,basketball
Kelly Olynyk,Detroit Pistons,01-02-2017,shoulder,basketball
Kelly Olynyk,Detroit Pistons,07-02-2018,shoulder,basketball
Kelly Olynyk,Detroit Pistons,04-09-2020,knee,basketball
Dennis Smith Jr.,Detroit Pistons,20-10-2017,knee,basketball
Dennis Smith Jr.,Detroit Pistons,08-12-2017,hip,basketball
Dennis Smith Jr.,Detroit Pistons,10-03-2018,knee,basketball
Dennis Smith Jr.,Detroit Pistons,20-03-2018,ankle,basketball
Dennis Smith Jr.,Detroit Pistons,04-04-2018,knee,basketball
Dennis Smith Jr.,Detroit Pistons,10-04-2018,knee,basketball
Dennis Smith Jr.,Detroit Pistons,26-10-2018,ankle,basketball
Dennis Smith Jr.,Detroit Pistons,24-11-2018,wrist,basketball
Dennis Smith Jr.,Detroit Pistons,05-12-2018,wrist,basketball
Dennis Smith Jr.,Detroit Pistons,16-12-2018,wrist,basketball
Dennis Smith Jr.,Detroit Pistons,09-01-2019,back,basketball
Dennis Smith Jr.,Detroit Pistons,16-01-2019,illness,basketball
Dennis Smith Jr.,Detroit Pistons,15-03-2019,back,basketball
Dennis Smith Jr.,Detroit Pistons,01-04-2019,back,basketball
Dennis Smith Jr.,Detroit Pistons,11-12-2019,illness,basketball
Dennis Smith Jr.,Detroit Pistons,26-12-2019,abdominal_muscle,basketball
Dennis Smith Jr.,Detroit Pistons,27-02-2020,concussion,basketball
Dennis Smith Jr.,Detroit Pistons,29-02-2020,concussion,basketball
Goga Bitadze,Indiana Pacers,07-11-2019,concussion,basketball
Goga Bitadze,Indiana Pacers,08-11-2019,concussion,basketball
Goga Bitadze,Indiana Pacers,24-01-2020,illness,basketball
Goga Bitadze,Indiana Pacers,29-07-2020,knee,basketball
Oshae Brissett,Indiana Pacers,01-08-2020,knee,basketball
Oshae Brissett,Indiana Pacers,10-08-2020,knee,basketball
Malcolm Brogdon,Indiana Pacers,10-03-2017,back,basketball
Malcolm Brogdon,Indiana Pacers,31-03-2017,back,basketball
Malcolm Brogdon,Indiana Pacers,08-04-2017,back,basketball
Malcolm Brogdon,Indiana Pacers,23-10-2017,ankle,basketball
Malcolm Brogdon,Indiana Pacers,26-01-2018,calf,basketball
Malcolm Brogdon,Indiana Pacers,02-02-2018,leg,basketball
Malcolm Brogdon,Indiana Pacers,02-02-2018,leg,basketball
Malcolm Brogdon,Indiana Pacers,14-12-2018,hamstring,basketball
Malcolm Brogdon,Indiana Pacers,02-03-2019,foot,basketball
Malcolm Brogdon,Indiana Pacers,16-03-2019,foot,basketball
Malcolm Brogdon,Indiana Pacers,17-03-2019,foot,basketball
Malcolm Brogdon,Indiana Pacers,14-04-2019,foot,basketball
Malcolm Brogdon,Indiana Pacers,16-11-2019,back,basketball
Malcolm Brogdon,Indiana Pacers,07-12-2019,hand,basketball
Malcolm Brogdon,Indiana Pacers,23-12-2019,hamstring,basketball
Malcolm Brogdon,Indiana Pacers,02-01-2020,back,basketball
Malcolm Brogdon,Indiana Pacers,23-01-2020,concussion,basketball
Malcolm Brogdon,Indiana Pacers,24-01-2020,concussion,basketball
Malcolm Brogdon,Indiana Pacers,06-03-2020,quadriceps,basketball
Malcolm Brogdon,Indiana Pacers,12-08-2020,neck,basketball
Torrey Craig,Indiana Pacers,15-02-2018,hamstring,basketball
Torrey Craig,Indiana Pacers,17-11-2018,hamstring,basketball
Torrey Craig,Indiana Pacers,14-03-2019,shoulder,basketball
Jeremy Lamb,Indiana Pacers,22-01-2013,back,basketball
Jeremy Lamb,Indiana Pacers,29-10-2014,back,basketball
Jeremy Lamb,Indiana Pacers,28-10-2015,ankle,basketball
Jeremy Lamb,Indiana Pacers,14-01-2016,toe,basketball
Jeremy Lamb,Indiana Pacers,23-01-2016,toe,basketball
Jeremy Lamb,Indiana Pacers,08-04-2016,toe,basketball
Jeremy Lamb,Indiana Pacers,29-10-2016,hamstring,basketball
Jeremy Lamb,Indiana Pacers,02-11-2016,hamstring,basketball
Jeremy Lamb,Indiana Pacers,18-11-2016,hamstring,basketball
Jeremy Lamb,Indiana Pacers,12-01-2017,foot,basketball
Jeremy Lamb,Indiana Pacers,21-01-2017,foot,basketball
Jeremy Lamb,Indiana Pacers,28-01-2017,metatarsal inflammation (DTD),basketball
Jeremy Lamb,Indiana Pacers,09-12-2017,shin,basketball
Jeremy Lamb,Indiana Pacers,31-03-2018,foot,basketball
Jeremy Lamb,Indiana Pacers,02-01-2019,hamstring,basketball
Jeremy Lamb,Indiana Pacers,26-10-2019,hip,basketball
Jeremy Lamb,Indiana Pacers,06-11-2019,ankle,basketball
Jeremy Lamb,Indiana Pacers,20-12-2019,groin,basketball
Jeremy Lamb,Indiana Pacers,24-02-2020,knee,basketball
Jeremy Lamb,Indiana Pacers,25-02-2020,knee,basketball
Caris LeVert,Indiana Pacers,24-10-2016,foot,basketball
Caris LeVert,Indiana Pacers,26-10-2016,foot,basketball
Caris LeVert,Indiana Pacers,05-12-2016,foot,basketball
Caris LeVert,Indiana Pacers,05-02-2017,knee,basketball
Caris LeVert,Indiana Pacers,25-02-2017,illness,basketball
Caris LeVert,Indiana Pacers,03-01-2018,groin,basketball
Caris LeVert,Indiana Pacers,27-01-2018,groin,basketball
Caris LeVert,Indiana Pacers,30-01-2018,groin,basketball
Caris LeVert,Indiana Pacers,07-02-2018,knee,basketball
Caris LeVert,Indiana Pacers,09-04-2018,foot,basketball
Caris LeVert,Indiana Pacers,13-11-2018,foot,basketball
Caris LeVert,Indiana Pacers,14-11-2018,foot,basketball
Caris LeVert,Indiana Pacers,11-11-2019,thumb,basketball
Caris LeVert,Indiana Pacers,12-11-2019,thumb,basketball
Caris LeVert,Indiana Pacers,03-08-2020,thigh,basketball
Caris LeVert,Indiana Pacers,10-08-2020,thigh,basketball
Kelan Martin,Indiana Pacers,08-03-2020,ankle,basketball
T.J. McConnell,Indiana Pacers,24-02-2016,ankle,basketball
T.J. McConnell,Indiana Pacers,16-01-2017,wrist,basketball
T.J. McConnell,Indiana Pacers,30-11-2017,shoulder,basketball
T.J. McConnell,Indiana Pacers,09-12-2017,shoulder,basketball
T.J. McConnell,Indiana Pacers,16-11-2019,groin,basketball
JaKarr Sampson,Indiana Pacers,26-01-2016,infection,basketball
JaKarr Sampson,Indiana Pacers,23-11-2019,back,basketball
JaKarr Sampson,Indiana Pacers,24-01-2020,ankle,basketball
Edmond Sumner,Indiana Pacers,18-10-2017,knee,basketball
Edmond Sumner,Indiana Pacers,05-03-2019,knee,basketball
Edmond Sumner,Indiana Pacers,30-10-2019,hand,basketball
Edmond Sumner,Indiana Pacers,02-01-2020,knee,basketball
Edmond Sumner,Indiana Pacers,21-02-2020,hip,basketball
Myles Turner,Indiana Pacers,28-10-2015,ankle,basketball
Myles Turner,Indiana Pacers,12-11-2015,hip,basketball
Myles Turner,Indiana Pacers,16-11-2015,hip,basketball
Myles Turner,Indiana Pacers,27-11-2015,hip,basketball
Myles Turner,Indiana Pacers,21-11-2016,ankle,basketball
Myles Turner,Indiana Pacers,19-10-2017,neck,basketball
Myles Turner,Indiana Pacers,20-10-2017,concussion,basketball
Myles Turner,Indiana Pacers,10-01-2018,elbow,basketball
Myles Turner,Indiana Pacers,17-03-2018,ankle,basketball
Myles Turner,Indiana Pacers,23-11-2018,ankle,basketball
Myles Turner,Indiana Pacers,06-01-2019,shoulder,basketball
Myles Turner,Indiana Pacers,22-02-2019,hip,basketball
Myles Turner,Indiana Pacers,10-04-2019,ankle,basketball
Myles Turner,Indiana Pacers,31-10-2019,ankle,basketball
Myles Turner,Indiana Pacers,01-11-2019,ankle,basketball
Myles Turner,Indiana Pacers,26-01-2020,illness,basketball
